constituency,topic 1,topic 2,topic 3,topic 4
Constituency - Business and Industry,89,5,17,6
Constituency - Business and Industry2,7,2,0,0
Constituency - ENGO,15,2,13,7
Constituency - Environmental,146,15,107,43
Constituency - Environmental CAN,56,0,41,12
Constituency - Environmental CJN,5,1,3,3
Constituency - Farmers,5,2,5,0
Constituency - Indigenous peoples,1,4,17,7
Constituency - Local government and Municipal authorities,8,4,5,3
Constituency - Research and independent,90,7,55,147
Constituency - Trade Unions,0,3,1,3
Constituency - Women and Gender,2,1,18,0
Constituency - Youth,6,0,30,8
not yet affiliated/no data,7,1,9,1
