"","file_iso","name","continent"
"1","AGO","Angola","Africa"
"2","ALB","Albania","Europe"
"3","AND","Andorra","Europe"
"4","ARM","Armenia","Asia"
"5","ATG","Antigua & Barbuda","Americas"
"6","AUS","Australia","Oceania"
"7","AUS","Australia","Oceania"
"8","AUT","Austria","Europe"
"9","BEL","Belgium","Europe"
"10","BGD","Bangladesh","Asia"
"11","BGD","Bangladesh","Asia"
"12","BGR","Bulgaria","Europe"
"13","BHR","Bahrain","Asia"
"14","BIH","Bosnia & Herzegovina","Europe"
"15","BLR","Belarus","Europe"
"16","BLZ","Belize","Americas"
"17","BRA","Brazil","Americas"
"18","BRB","Barbados","Americas"
"19","CAN","Canada","Americas"
"20","CHE","Switzerland","Europe"
"21","CHE","Switzerland","Europe"
"22","CHL","Chile","Americas"
"23","CHN","China","Asia"
"24","COG","Congo - Brazzaville","Africa"
"25","COL","Colombia","Americas"
"26","CPV","Cape Verde","Africa"
"27","CRI","Costa Rica","Americas"
"28","CRI","Costa Rica","Americas"
"29","CUB","Cuba","Americas"
"30","CYP","Cyprus","Asia"
"31","CZE","Czechia","Europe"
"32","DEU","Germany","Europe"
"33","DNK","Denmark","Europe"
"34","DOM","Dominican Republic","Americas"
"35","ESP","Spain","Europe"
"36","EST","Estonia","Europe"
"37","EUU",NA,NA
"38","FIN","Finland","Europe"
"39","FJI","Fiji","Oceania"
"40","FRA","France","Europe"
"41","GBR","United Kingdom","Europe"
"42","GEO","Georgia","Asia"
"43","GHA","Ghana","Africa"
"44","GIN","Guinea","Africa"
"45","GNB","Guinea-Bissau","Africa"
"46","GRC","Greece","Europe"
"47","HND","Honduras","Americas"
"48","HRV","Croatia","Europe"
"49","HUN","Hungary","Europe"
"50","IDN","Indonesia","Asia"
"51","IRL","Ireland","Europe"
"52","ISL","Iceland","Europe"
"53","ISR","Israel","Asia"
"54","ITA","Italy","Europe"
"55","JAM","Jamaica","Americas"
"56","JOR","Jordan","Asia"
"57","JPN","Japan","Asia"
"58","KEN","Kenya","Africa"
"59","KGZ","Kyrgyzstan","Asia"
"60","KHM","Cambodia","Asia"
"61","KNA","St. Kitts & Nevis","Americas"
"62","KOR","South Korea","Asia"
"63","KOR","South Korea","Asia"
"64","KWT","Kuwait","Asia"
"65","LAO","Laos","Asia"
"66","LBN","Lebanon","Asia"
"67","LBR","Liberia","Africa"
"68","LCA","St. Lucia","Americas"
"69","LKA","Sri Lanka","Asia"
"70","LTU","Lithuania","Europe"
"71","LUX","Luxembourg","Europe"
"72","LVA","Latvia","Europe"
"73","MAR","Morocco","Africa"
"74","MCO","Monaco","Europe"
"75","MDA","Moldova","Europe"
"76","MDV","Maldives","Asia"
"77","MEX","Mexico","Americas"
"78","MHL","Marshall Islands","Oceania"
"79","MKD","North Macedonia","Europe"
"80","MLT","Malta","Europe"
"81","MMR","Myanmar (Burma)","Asia"
"82","MNE","Montenegro","Europe"
"83","MNG","Mongolia","Asia"
"84","MUS","Mauritius","Africa"
"85","MWI","Malawi","Africa"
"86","MYS","Malaysia","Asia"
"87","NAM","Namibia","Africa"
"88","NIC","Nicaragua","Americas"
"89","NLD","Netherlands","Europe"
"90","NOR","Norway","Europe"
"91","NZL","New Zealand","Oceania"
"92","NZL","New Zealand","Oceania"
"93","PAN","Panama","Americas"
"94","PER","Peru","Americas"
"95","POL","Poland","Europe"
"96","PRT","Portugal","Europe"
"97","PRY","Paraguay","Americas"
"98","PSE","Palestinian Territories","Asia"
"99","QAT","Qatar","Asia"
"100","ROU","Romania","Europe"
"101","RWA","Rwanda","Africa"
"102","SAU","Saudi Arabia","Asia"
"103","SGP","Singapore","Asia"
"104","SLB","Solomon Islands","Oceania"
"105","SLE","Sierra Leone","Africa"
"106","SOM","Somalia","Africa"
"107","STP","São Tomé & Príncipe","Africa"
"108","SVK","Slovakia","Europe"
"109","SVN","Slovenia","Europe"
"110","SWE","Sweden","Europe"
"111","SWZ","Eswatini","Africa"
"112","SYC","Seychelles","Africa"
"113","THA","Thailand","Asia"
"114","TJK","Tajikistan","Asia"
"115","TZA","Tanzania","Africa"
"116","UGA","Uganda","Africa"
"117","UKR","Ukraine","Europe"
"118","USA","United States","Americas"
"119","UZB","Uzbekistan","Asia"
"120","VNM","Vietnam","Asia"
"121","VUT","Vanuatu","Oceania"
"122","ZAF","South Africa","Africa"
"123","ZMB","Zambia","Africa"
"124","ZMB","Zambia","Africa"
"125","ZWE","Zimbabwe","Africa"
